Value,Footprint,Designator,Quantity,LCSC Part #
USBLC6-2,SOT-23-6,U3,1,C7519
PIC18F45K50_QFP,TQFP-44,U5,1,C219580
100nF,0603,C3,1,C14663
LM317A,TO-252-2,U4,1,C75510
0.1μF,0603,C5,1,C14663
1μF,0603,C13,1,C15849
1k,0603,R7,1,C21190
1.5k,0603,R8,1,C22843
M7,Diotec,D4,1,C95872
10μF,0603,C12,1,C19702
DW01+G,TSOT-23-6,U1,1,C14213
100,0603,R4,1,C7250
0.1μF,0603,C4,1,C14663
TP4056,SSOP-8_2,U2,1,C16581
FS8205,TSOT-23-6,Q1,1,C32254
1k,0603,R6,1,C21190
180,0603,R1,1,C25810
ZMM5V1,MiniMELF,D2,1,C8061
GHC-YR,0603,D1,1,C72043
BHC-ZL,0603,D3,1,C72041
68,0603,R2,1,C13415
68,0603,R3,1,C13415
10μF,0603,C1,1,C19702
2k,0603,R5,1,C22975
10μF,0603,C2,1,C19702
10μF,0603,C6,1,C19702
0.1μF,0603,C7,1,C14663
0.1μF,0603,C8,1,C14663
10μF,0603,C11,1,C19702
0.1μF,0603,C10,1,C14663
0.1μF,0603,C9,1,C14663
480,0603,R10,1,C17480
10k,0603,R9,1,C25804
0.1μF,0603,C14,1,C14663
